Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_Rectangular_W5.0mm_H2.0mm,72.28,-55.495,90.0,bottom
J1,SwitchConn,PinHeader_1x06_P2.54mm_Vertical,50.368,-43.688,90.0,top
R1,R-LED,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,62.484,-59.309,90.0,bottom
SW1,SW_Push_3PDT,3PDT.LUGS.FLPVSK,50.28,-55.5,0.0,top
